"filename", "language", "TypeScript", "CSS", "HTML", "JSON", "JavaScript", "Vue", "comment", "blank", "total"
"c:\Users\15137\Desktop\vue3\教务系统\src\components\Teacher\TeacherManage_Button.vue", "Vue", 0, 0, 0, 0, 0, 136, 0, 23, 159
"c:\Users\15137\Desktop\vue3\教务系统\src\components\Teacher\Teacher_Info.vue", "Vue", 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\15137\Desktop\vue3\教务系统\src\components\Teacher\Teacher_InfoTable.vue", "Vue", 0, 0, 0, 0, 0, 213, 0, 15, 228
"c:\Users\15137\Desktop\vue3\教务系统\src\components\TestArrangement.vue", "Vue", 0, 0, 0, 0, 0, 28, 1, 2, 31
"c:\Users\15137\Desktop\vue3\教务系统\src\components\icons\IconCommunity.vue", "Vue", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\15137\Desktop\vue3\教务系统\src\components\icons\IconDocumentation.vue", "Vue", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\15137\Desktop\vue3\教务系统\src\components\icons\IconEcosystem.vue", "Vue", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\15137\Desktop\vue3\教务系统\src\components\icons\IconSupport.vue", "Vue", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\15137\Desktop\vue3\教务系统\src\components\icons\IconTooling.vue", "Vue", 0, 0, 0, 0, 0, 18, 1, 1, 20
"c:\Users\15137\Desktop\vue3\教务系统\src\main.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\15137\Desktop\vue3\教务系统\src\ruter\router.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 4, 63
"c:\Users\15137\Desktop\vue3\教务系统\src\stores\AdminStore.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 11, 73
"c:\Users\15137\Desktop\vue3\教务系统\src\stores\AnnounceStore.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 7, 13, 129
"c:\Users\15137\Desktop\vue3\教务系统\src\stores\Login.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\15137\Desktop\vue3\教务系统\src\stores\StudentStore.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 7, 59
"c:\Users\15137\Desktop\vue3\教务系统\src\stores\TeacherStore.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 7, 61
"Total", "-", 377, 1678, 564, 48, 3, 1948, 83, 649, 5350
